epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.786,1.95033,2.34017,1.07209,0.28942,0.16375,0.11048,0.05499,1.85147,1.64409,1.00725,0.0033251,0.0033251,0.0700741
2,504.702,1.92348,1.66909,1.01951,0.21356,0.20395,0.14267,0.07285,1.82146,1.51288,0.97979,0.00657604,0.00657604,0.0399917
3,745.491,1.92111,1.57297,1.00694,0.22655,0.20213,0.14489,0.0753,1.85182,1.59176,0.98944,0.00974447,0.00974447,0.00982678
4,996.005,1.88701,1.52203,0.99263,0.2745,0.23082,0.17765,0.09338,1.74589,1.42131,0.95611,0.00962875,0.00962875,0.00962875
5,1264.63,1.83135,1.44077,0.97174,0.31803,0.2385,0.19867,0.10388,1.70724,1.37416,0.94527,0.009505,0.009505,0.009505
6,1513.91,1.81013,1.40013,0.96081,0.31699,0.24954,0.20989,0.11238,1.68627,1.3051,0.93776,0.00938125,0.00938125,0.00938125
7,1756.95,1.77186,1.35748,0.95002,0.29971,0.23853,0.20931,0.11127,1.68276,1.33125,0.93694,0.0092575,0.0092575,0.0092575
8,2005.82,1.75563,1.33386,0.94443,0.35262,0.26335,0.22649,0.1207,1.65675,1.26764,0.93371,0.00913375,0.00913375,0.00913375
9,2255.71,1.73154,1.2953,0.93956,0.34561,0.26243,0.22923,0.12234,1.6498,1.24779,0.93322,0.00901,0.00901,0.00901
10,2477.79,1.72314,1.28351,0.93525,0.3508,0.2761,0.24058,0.1278,1.63736,1.24262,0.9243,0.00888625,0.00888625,0.00888625
11,2698.39,1.71202,1.2652,0.93136,0.3531,0.27428,0.23921,0.12864,1.62332,1.22298,0.92127,0.0087625,0.0087625,0.0087625
12,2935.36,1.69959,1.25261,0.92798,0.36218,0.27289,0.24474,0.13239,1.61539,1.20637,0.91476,0.00863875,0.00863875,0.00863875
13,3169.96,1.69882,1.24177,0.92399,0.35571,0.27584,0.24794,0.13255,1.60885,1.20531,0.92118,0.008515,0.008515,0.008515
14,3414.44,1.67759,1.22191,0.92047,0.35169,0.29006,0.25376,0.13683,1.60309,1.20528,0.91269,0.00839125,0.00839125,0.00839125
15,3669.11,1.66889,1.21565,0.91967,0.37089,0.28597,0.25775,0.14025,1.59077,1.16559,0.91151,0.0082675,0.0082675,0.0082675
16,3934.17,1.66082,1.20338,0.91945,0.37515,0.29082,0.26288,0.14359,1.57433,1.16465,0.9093,0.00814375,0.00814375,0.00814375
17,4175.96,1.65274,1.19228,0.91495,0.39041,0.29096,0.26905,0.14632,1.57806,1.15543,0.90862,0.00802,0.00802,0.00802
18,4405.13,1.63993,1.17661,0.91334,0.38216,0.28787,0.26687,0.14559,1.57976,1.15071,0.91136,0.00789625,0.00789625,0.00789625
19,4633.75,1.645,1.17972,0.91401,0.38034,0.29897,0.27314,0.14808,1.57392,1.15783,0.90791,0.0077725,0.0077725,0.0077725
20,4856.13,1.63701,1.17665,0.91312,0.38674,0.29856,0.27427,0.14786,1.56595,1.13493,0.90501,0.00764875,0.00764875,0.00764875
21,5079.25,1.62362,1.16022,0.91007,0.40971,0.2916,0.2757,0.15037,1.55083,1.12884,0.9016,0.007525,0.007525,0.007525
22,5301.53,1.62048,1.15615,0.90847,0.3917,0.29952,0.27665,0.1509,1.55094,1.12586,0.90178,0.00740125,0.00740125,0.00740125
23,5524.04,1.61767,1.15082,0.90759,0.37973,0.30026,0.27327,0.14887,1.54534,1.12502,0.90069,0.0072775,0.0072775,0.0072775
24,5745.39,1.60939,1.14497,0.90608,0.39513,0.30389,0.27873,0.15331,1.54513,1.12445,0.89958,0.00715375,0.00715375,0.00715375
25,5967.28,1.61175,1.1429,0.90524,0.3937,0.30378,0.28273,0.15483,1.53962,1.1219,0.8991,0.00703,0.00703,0.00703
26,6195.15,1.60011,1.12798,0.9044,0.39454,0.30996,0.28457,0.157,1.53881,1.11491,0.89963,0.00690625,0.00690625,0.00690625
27,6424.14,1.60894,1.13663,0.90437,0.41099,0.30189,0.28585,0.15732,1.54234,1.11298,0.89728,0.0067825,0.0067825,0.0067825
28,6649.55,1.59024,1.12037,0.90181,0.39225,0.3178,0.28936,0.15755,1.54473,1.10984,0.89895,0.00665875,0.00665875,0.00665875
29,6877.27,1.60186,1.12297,0.90047,0.40806,0.30744,0.29134,0.16132,1.52844,1.10681,0.89576,0.006535,0.006535,0.006535
30,7111.79,1.58691,1.11414,0.89972,0.40142,0.31476,0.29279,0.16025,1.53096,1.09774,0.89731,0.00641125,0.00641125,0.00641125
31,7339.56,1.58537,1.10789,0.89915,0.40528,0.29845,0.28126,0.15528,1.52767,1.1118,0.89468,0.0062875,0.0062875,0.0062875
32,7573.96,1.59058,1.1077,0.89844,0.40006,0.31102,0.29411,0.16093,1.52776,1.0982,0.89696,0.00616375,0.00616375,0.00616375
33,7813.94,1.57892,1.10186,0.89951,0.40169,0.31354,0.29282,0.16118,1.52371,1.094,0.89464,0.00604,0.00604,0.00604
34,8064.23,1.56729,1.08925,0.89689,0.40664,0.31307,0.29706,0.16213,1.51567,1.08791,0.89244,0.00591625,0.00591625,0.00591625
35,8298.74,1.57204,1.08935,0.89506,0.40086,0.31763,0.29606,0.16252,1.51173,1.08313,0.89085,0.0057925,0.0057925,0.0057925
36,8525.04,1.57358,1.08994,0.89469,0.42249,0.31973,0.30243,0.16774,1.50514,1.0738,0.89081,0.00566875,0.00566875,0.00566875
37,8752.4,1.56398,1.08379,0.89468,0.41674,0.31565,0.2983,0.16588,1.50954,1.07841,0.89137,0.005545,0.005545,0.005545
38,8985.33,1.56382,1.07713,0.89197,0.41841,0.32075,0.30453,0.1684,1.51114,1.06837,0.89004,0.00542125,0.00542125,0.00542125
39,9217.98,1.56226,1.07925,0.8928,0.43642,0.31435,0.30671,0.17026,1.50027,1.06967,0.89006,0.0052975,0.0052975,0.0052975
